"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date","hour"
"16",16,2011-01-01,1,0,"Jan",15,0,6,0,"Mist-Cloudy",0.44,0.4394,0.77,0.2985,40,70,110,2011-01-01,15
"17",17,2011-01-01,1,0,"Jan",16,0,6,0,"Mist-Cloudy",0.42,0.4242,0.82,0.2985,41,52,93,2011-01-01,16
"18",18,2011-01-01,1,0,"Jan",17,0,6,0,"Mist-Cloudy",0.44,0.4394,0.82,0.2836,15,52,67,2011-01-01,17
"19",19,2011-01-01,1,0,"Jan",18,0,6,0,"Light Snow-Rain",0.42,0.4242,0.88,0.2537,9,26,35,2011-01-01,18
"20",20,2011-01-01,1,0,"Jan",19,0,6,0,"Light Snow-Rain",0.42,0.4242,0.88,0.2537,6,31,37,2011-01-01,19
"21",21,2011-01-01,1,0,"Jan",20,0,6,0,"Mist-Cloudy",0.4,0.4091,0.87,0.2537,11,25,36,2011-01-01,20
"22",22,2011-01-01,1,0,"Jan",21,0,6,0,"Mist-Cloudy",0.4,0.4091,0.87,0.194,3,31,34,2011-01-01,21
"23",23,2011-01-01,1,0,"Jan",22,0,6,0,"Mist-Cloudy",0.4,0.4091,0.94,0.2239,11,17,28,2011-01-01,22
"24",24,2011-01-01,1,0,"Jan",23,0,6,0,"Mist-Cloudy",0.46,0.4545,0.88,0.2985,15,24,39,2011-01-01,23
"25",25,2011-01-02,1,0,"Jan",0,0,0,0,"Mist-Cloudy",0.46,0.4545,0.88,0.2985,4,13,17,2011-01-02,0
"26",26,2011-01-02,1,0,"Jan",1,0,0,0,"Mist-Cloudy",0.44,0.4394,0.94,0.2537,1,16,17,2011-01-02,1
"27",27,2011-01-02,1,0,"Jan",2,0,0,0,"Mist-Cloudy",0.42,0.4242,1,0.2836,1,8,9,2011-01-02,2
"28",28,2011-01-02,1,0,"Jan",3,0,0,0,"Mist-Cloudy",0.46,0.4545,0.94,0.194,2,4,6,2011-01-02,3
"29",29,2011-01-02,1,0,"Jan",4,0,0,0,"Mist-Cloudy",0.46,0.4545,0.94,0.194,2,1,3,2011-01-02,4
"30",30,2011-01-02,1,0,"Jan",6,0,0,0,"Light Snow-Rain",0.42,0.4242,0.77,0.2985,0,2,2,2011-01-02,6
"31",31,2011-01-02,1,0,"Jan",7,0,0,0,"Mist-Cloudy",0.4,0.4091,0.76,0.194,0,1,1,2011-01-02,7
"32",32,2011-01-02,1,0,"Jan",8,0,0,0,"Light Snow-Rain",0.4,0.4091,0.71,0.2239,0,8,8,2011-01-02,8
"33",33,2011-01-02,1,0,"Jan",9,0,0,0,"Mist-Cloudy",0.38,0.3939,0.76,0.2239,1,19,20,2011-01-02,9
"34",34,2011-01-02,1,0,"Jan",10,0,0,0,"Mist-Cloudy",0.36,0.3485,0.81,0.2239,7,46,53,2011-01-02,10
"35",35,2011-01-02,1,0,"Jan",11,0,0,0,"Mist-Cloudy",0.36,0.3333,0.71,0.2537,16,54,70,2011-01-02,11
"36",36,2011-01-02,1,0,"Jan",12,0,0,0,"Mist-Cloudy",0.36,0.3333,0.66,0.2985,20,73,93,2011-01-02,12
"37",37,2011-01-02,1,0,"Jan",13,0,0,0,"Mist-Cloudy",0.36,0.3485,0.66,0.1343,11,64,75,2011-01-02,13
"38",38,2011-01-02,1,0,"Jan",14,0,0,0,"Light Snow-Rain",0.36,0.3485,0.76,0.194,4,55,59,2011-01-02,14
"39",39,2011-01-02,1,0,"Jan",15,0,0,0,"Light Snow-Rain",0.34,0.3333,0.81,0.1642,19,55,74,2011-01-02,15
"40",40,2011-01-02,1,0,"Jan",16,0,0,0,"Light Snow-Rain",0.34,0.3333,0.71,0.1642,9,67,76,2011-01-02,16
"41",41,2011-01-02,1,0,"Jan",17,0,0,0,"Clear-Few clouds",0.34,0.3333,0.57,0.194,7,58,65,2011-01-02,17
"42",42,2011-01-02,1,0,"Jan",18,0,0,0,"Mist-Cloudy",0.36,0.3333,0.46,0.3284,10,43,53,2011-01-02,18
"43",43,2011-01-02,1,0,"Jan",19,0,0,0,"Clear-Few clouds",0.32,0.2879,0.42,0.4478,1,29,30,2011-01-02,19
"44",44,2011-01-02,1,0,"Jan",20,0,0,0,"Clear-Few clouds",0.3,0.2727,0.39,0.3582,5,17,22,2011-01-02,20
"45",45,2011-01-02,1,0,"Jan",21,0,0,0,"Clear-Few clouds",0.26,0.2273,0.44,0.3284,11,20,31,2011-01-02,21
"46",46,2011-01-02,1,0,"Jan",22,0,0,0,"Clear-Few clouds",0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02,22
"47",47,2011-01-02,1,0,"Jan",23,0,0,0,"Clear-Few clouds",0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02,23
"48",48,2011-01-03,1,0,"Jan",0,0,1,1,"Clear-Few clouds",0.22,0.197,0.44,0.3582,0,5,5,2011-01-03,0
"49",49,2011-01-03,1,0,"Jan",1,0,1,1,"Clear-Few clouds",0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03,1
"50",50,2011-01-03,1,0,"Jan",4,0,1,1,"Clear-Few clouds",0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03,4
"51",51,2011-01-03,1,0,"Jan",5,0,1,1,"Clear-Few clouds",0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03,5
"52",52,2011-01-03,1,0,"Jan",6,0,1,1,"Clear-Few clouds",0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03,6
"53",53,2011-01-03,1,0,"Jan",7,0,1,1,"Clear-Few clouds",0.14,0.1364,0.5,0.194,1,63,64,2011-01-03,7
"54",54,2011-01-03,1,0,"Jan",8,0,1,1,"Clear-Few clouds",0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03,8
"55",55,2011-01-03,1,0,"Jan",9,0,1,1,"Clear-Few clouds",0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03,9
"56",56,2011-01-03,1,0,"Jan",10,0,1,1,"Clear-Few clouds",0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03,10
"57",57,2011-01-03,1,0,"Jan",11,0,1,1,"Clear-Few clouds",0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03,11
"58",58,2011-01-03,1,0,"Jan",12,0,1,1,"Clear-Few clouds",0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03,12
"59",59,2011-01-03,1,0,"Jan",13,0,1,1,"Clear-Few clouds",0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03,13
"60",60,2011-01-03,1,0,"Jan",14,0,1,1,"Clear-Few clouds",0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03,14
"61",61,2011-01-03,1,0,"Jan",15,0,1,1,"Clear-Few clouds",0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03,15
"62",62,2011-01-03,1,0,"Jan",16,0,1,1,"Clear-Few clouds",0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03,16
"63",63,2011-01-03,1,0,"Jan",17,0,1,1,"Clear-Few clouds",0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03,17
"64",64,2011-01-03,1,0,"Jan",18,0,1,1,"Clear-Few clouds",0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03,18
"65",65,2011-01-03,1,0,"Jan",19,0,1,1,"Clear-Few clouds",0.2,0.2576,0.47,0,8,102,110,2011-01-03,19
"66",66,2011-01-03,1,0,"Jan",20,0,1,1,"Clear-Few clouds",0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03,20
"67",67,2011-01-03,1,0,"Jan",21,0,1,1,"Clear-Few clouds",0.18,0.197,0.64,0.1343,3,49,52,2011-01-03,21
"68",68,2011-01-03,1,0,"Jan",22,0,1,1,"Clear-Few clouds",0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03,22
"69",69,2011-01-03,1,0,"Jan",23,0,1,1,"Clear-Few clouds",0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03,23
"70",70,2011-01-04,1,0,"Jan",0,0,2,1,"Clear-Few clouds",0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04,0
"71",71,2011-01-04,1,0,"Jan",1,0,2,1,"Clear-Few clouds",0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04,1
"72",72,2011-01-04,1,0,"Jan",2,0,2,1,"Clear-Few clouds",0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04,2
"73",73,2011-01-04,1,0,"Jan",4,0,2,1,"Clear-Few clouds",0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04,4
"74",74,2011-01-04,1,0,"Jan",5,0,2,1,"Clear-Few clouds",0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04,5
"75",75,2011-01-04,1,0,"Jan",6,0,2,1,"Clear-Few clouds",0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04,6
"76",76,2011-01-04,1,0,"Jan",7,0,2,1,"Clear-Few clouds",0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04,7
"77",77,2011-01-04,1,0,"Jan",8,0,2,1,"Clear-Few clouds",0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04,8
"78",78,2011-01-04,1,0,"Jan",9,0,2,1,"Clear-Few clouds",0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04,9
"79",79,2011-01-04,1,0,"Jan",10,0,2,1,"Mist-Cloudy",0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04,10
"80",80,2011-01-04,1,0,"Jan",11,0,2,1,"Clear-Few clouds",0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04,11
"81",81,2011-01-04,1,0,"Jan",12,0,2,1,"Clear-Few clouds",0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04,12
"82",82,2011-01-04,1,0,"Jan",13,0,2,1,"Clear-Few clouds",0.24,0.2273,0.56,0.194,18,79,97,2011-01-04,13
"83",83,2011-01-04,1,0,"Jan",14,0,2,1,"Clear-Few clouds",0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04,14
"84",84,2011-01-04,1,0,"Jan",15,0,2,1,"Clear-Few clouds",0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04,15
"85",85,2011-01-04,1,0,"Jan",16,0,2,1,"Clear-Few clouds",0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04,16
"86",86,2011-01-04,1,0,"Jan",17,0,2,1,"Clear-Few clouds",0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04,17
"87",87,2011-01-04,1,0,"Jan",18,0,2,1,"Clear-Few clouds",0.26,0.2576,0.48,0.194,3,179,182,2011-01-04,18
"88",88,2011-01-04,1,0,"Jan",19,0,2,1,"Clear-Few clouds",0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04,19
"89",89,2011-01-04,1,0,"Jan",20,0,2,1,"Clear-Few clouds",0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04,20
"90",90,2011-01-04,1,0,"Jan",21,0,2,1,"Clear-Few clouds",0.22,0.2727,0.64,0,0,48,48,2011-01-04,21
"91",91,2011-01-04,1,0,"Jan",22,0,2,1,"Clear-Few clouds",0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04,22
"92",92,2011-01-04,1,0,"Jan",23,0,2,1,"Clear-Few clouds",0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04,23
"93",93,2011-01-05,1,0,"Jan",0,0,3,1,"Clear-Few clouds",0.2,0.2576,0.64,0,0,6,6,2011-01-05,0
"94",94,2011-01-05,1,0,"Jan",1,0,3,1,"Clear-Few clouds",0.16,0.197,0.74,0.0896,0,6,6,2011-01-05,1
"95",95,2011-01-05,1,0,"Jan",2,0,3,1,"Clear-Few clouds",0.16,0.197,0.74,0.0896,0,2,2,2011-01-05,2
"96",96,2011-01-05,1,0,"Jan",4,0,3,1,"Clear-Few clouds",0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05,4
"97",97,2011-01-05,1,0,"Jan",5,0,3,1,"Clear-Few clouds",0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05,5
"98",98,2011-01-05,1,0,"Jan",6,0,3,1,"Clear-Few clouds",0.2,0.197,0.47,0.2239,0,33,33,2011-01-05,6
"99",99,2011-01-05,1,0,"Jan",7,0,3,1,"Clear-Few clouds",0.18,0.1818,0.43,0.194,1,87,88,2011-01-05,7
"100",100,2011-01-05,1,0,"Jan",8,0,3,1,"Clear-Few clouds",0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05,8
"101",101,2011-01-05,1,0,"Jan",9,0,3,1,"Clear-Few clouds",0.22,0.197,0.37,0.3284,6,109,115,2011-01-05,9
"102",102,2011-01-05,1,0,"Jan",10,0,3,1,"Clear-Few clouds",0.22,0.197,0.37,0.3284,4,53,57,2011-01-05,10
"103",103,2011-01-05,1,0,"Jan",11,0,3,1,"Clear-Few clouds",0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05,11
"104",104,2011-01-05,1,0,"Jan",12,0,3,1,"Clear-Few clouds",0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05,12
"105",105,2011-01-05,1,0,"Jan",13,0,3,1,"Clear-Few clouds",0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05,13
"106",106,2011-01-05,1,0,"Jan",14,0,3,1,"Clear-Few clouds",0.3,0.2879,0.28,0.194,10,52,62,2011-01-05,14
"107",107,2011-01-05,1,0,"Jan",15,0,3,1,"Clear-Few clouds",0.3,0.2879,0.28,0.194,7,55,62,2011-01-05,15
"108",108,2011-01-05,1,0,"Jan",16,0,3,1,"Clear-Few clouds",0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05,16
"109",109,2011-01-05,1,0,"Jan",17,0,3,1,"Clear-Few clouds",0.24,0.2273,0.38,0.194,4,186,190,2011-01-05,17
"110",110,2011-01-05,1,0,"Jan",18,0,3,1,"Clear-Few clouds",0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05,18
"111",111,2011-01-05,1,0,"Jan",19,0,3,1,"Clear-Few clouds",0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05,19
"112",112,2011-01-05,1,0,"Jan",20,0,3,1,"Clear-Few clouds",0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05,20
"113",113,2011-01-05,1,0,"Jan",21,0,3,1,"Clear-Few clouds",0.2,0.197,0.51,0.194,3,40,43,2011-01-05,21
"114",114,2011-01-05,1,0,"Jan",22,0,3,1,"Clear-Few clouds",0.18,0.197,0.55,0.1343,1,41,42,2011-01-05,22
"115",115,2011-01-05,1,0,"Jan",23,0,3,1,"Clear-Few clouds",0.2,0.2576,0.47,0,1,18,19,2011-01-05,23
"116",116,2011-01-06,1,0,"Jan",0,0,4,1,"Clear-Few clouds",0.18,0.2424,0.55,0,0,11,11,2011-01-06,0
"117",117,2011-01-06,1,0,"Jan",1,0,4,1,"Clear-Few clouds",0.16,0.2273,0.64,0,0,4,4,2011-01-06,1
"118",118,2011-01-06,1,0,"Jan",2,0,4,1,"Clear-Few clouds",0.16,0.2273,0.64,0,0,2,2,2011-01-06,2
"119",119,2011-01-06,1,0,"Jan",4,0,4,1,"Mist-Cloudy",0.16,0.197,0.64,0.0896,0,1,1,2011-01-06,4
"120",120,2011-01-06,1,0,"Jan",5,0,4,1,"Mist-Cloudy",0.14,0.1818,0.69,0.0896,0,4,4,2011-01-06,5
"121",121,2011-01-06,1,0,"Jan",6,0,4,1,"Mist-Cloudy",0.14,0.1667,0.63,0.1045,0,36,36,2011-01-06,6
"122",122,2011-01-06,1,0,"Jan",7,0,4,1,"Mist-Cloudy",0.16,0.2273,0.59,0,0,95,95,2011-01-06,7
"123",123,2011-01-06,1,0,"Jan",8,0,4,1,"Clear-Few clouds",0.16,0.2273,0.59,0,3,216,219,2011-01-06,8
"124",124,2011-01-06,1,0,"Jan",9,0,4,1,"Mist-Cloudy",0.18,0.2424,0.51,0,6,116,122,2011-01-06,9
"125",125,2011-01-06,1,0,"Jan",10,0,4,1,"Clear-Few clouds",0.2,0.2576,0.47,0,3,42,45,2011-01-06,10
"126",126,2011-01-06,1,0,"Jan",11,0,4,1,"Clear-Few clouds",0.22,0.2576,0.44,0.0896,2,57,59,2011-01-06,11
"127",127,2011-01-06,1,0,"Jan",12,0,4,1,"Clear-Few clouds",0.26,0.2879,0.35,0,6,78,84,2011-01-06,12
"128",128,2011-01-06,1,0,"Jan",13,0,4,1,"Clear-Few clouds",0.26,0.2727,0.35,0.1045,12,55,67,2011-01-06,13
"129",129,2011-01-06,1,0,"Jan",14,0,4,1,"Clear-Few clouds",0.28,0.2727,0.36,0.1642,11,59,70,2011-01-06,14
"130",130,2011-01-06,1,0,"Jan",15,0,4,1,"Clear-Few clouds",0.28,0.2727,0.36,0,8,54,62,2011-01-06,15
"131",131,2011-01-06,1,0,"Jan",16,0,4,1,"Clear-Few clouds",0.26,0.2576,0.38,0.1642,12,74,86,2011-01-06,16
"132",132,2011-01-06,1,0,"Jan",17,0,4,1,"Clear-Few clouds",0.22,0.2273,0.51,0.1642,9,163,172,2011-01-06,17
"133",133,2011-01-06,1,0,"Jan",18,0,4,1,"Clear-Few clouds",0.22,0.2273,0.51,0.1343,5,158,163,2011-01-06,18
"134",134,2011-01-06,1,0,"Jan",19,0,4,1,"Clear-Few clouds",0.22,0.2576,0.55,0.0896,3,109,112,2011-01-06,19
"135",135,2011-01-06,1,0,"Jan",20,0,4,1,"Clear-Few clouds",0.2,0.2121,0.51,0.1642,3,66,69,2011-01-06,20
"136",136,2011-01-06,1,0,"Jan",21,0,4,1,"Mist-Cloudy",0.22,0.2121,0.55,0.2239,0,48,48,2011-01-06,21
"137",137,2011-01-06,1,0,"Jan",22,0,4,1,"Mist-Cloudy",0.22,0.2121,0.51,0.2836,1,51,52,2011-01-06,22
"138",138,2011-01-06,1,0,"Jan",23,0,4,1,"Mist-Cloudy",0.2,0.197,0.59,0.194,4,19,23,2011-01-06,23
"139",139,2011-01-07,1,0,"Jan",0,0,5,1,"Mist-Cloudy",0.2,0.197,0.64,0.194,4,13,17,2011-01-07,0
"140",140,2011-01-07,1,0,"Jan",1,0,5,1,"Mist-Cloudy",0.2,0.197,0.69,0.2239,2,5,7,2011-01-07,1
"141",141,2011-01-07,1,0,"Jan",2,0,5,1,"Mist-Cloudy",0.2,0.197,0.69,0.2239,0,1,1,2011-01-07,2
"142",142,2011-01-07,1,0,"Jan",4,0,5,1,"Mist-Cloudy",0.2,0.2121,0.69,0.1343,0,1,1,2011-01-07,4
"143",143,2011-01-07,1,0,"Jan",5,0,5,1,"Light Snow-Rain",0.22,0.2727,0.55,0,0,5,5,2011-01-07,5
"144",144,2011-01-07,1,0,"Jan",6,0,5,1,"Mist-Cloudy",0.2,0.2576,0.69,0,8,26,34,2011-01-07,6
"145",145,2011-01-07,1,0,"Jan",7,0,5,1,"Clear-Few clouds",0.2,0.2121,0.69,0.1343,8,76,84,2011-01-07,7
"146",146,2011-01-07,1,0,"Jan",8,0,5,1,"Clear-Few clouds",0.2,0.197,0.51,0.2537,20,190,210,2011-01-07,8
"147",147,2011-01-07,1,0,"Jan",9,0,5,1,"Clear-Few clouds",0.2,0.1818,0.47,0.2985,9,125,134,2011-01-07,9
"148",148,2011-01-07,1,0,"Jan",10,0,5,1,"Clear-Few clouds",0.22,0.197,0.37,0.3284,16,47,63,2011-01-07,10
"149",149,2011-01-07,1,0,"Jan",11,0,5,1,"Mist-Cloudy",0.2,0.197,0.4,0.2239,19,48,67,2011-01-07,11
"150",150,2011-01-07,1,0,"Jan",12,0,5,1,"Mist-Cloudy",0.2,0.197,0.37,0.2537,9,50,59,2011-01-07,12
"151",151,2011-01-07,1,0,"Jan",13,0,5,1,"Mist-Cloudy",0.2,0.1818,0.37,0.2836,9,64,73,2011-01-07,13
"152",152,2011-01-07,1,0,"Jan",14,0,5,1,"Mist-Cloudy",0.2,0.197,0.4,0.2537,7,43,50,2011-01-07,14
"153",153,2011-01-07,1,0,"Jan",15,0,5,1,"Mist-Cloudy",0.2,0.2121,0.37,0.1642,9,63,72,2011-01-07,15
"154",154,2011-01-07,1,0,"Jan",16,0,5,1,"Mist-Cloudy",0.2,0.2121,0.37,0.1642,5,82,87,2011-01-07,16
"155",155,2011-01-07,1,0,"Jan",17,0,5,1,"Mist-Cloudy",0.2,0.2576,0.37,0,9,178,187,2011-01-07,17
"156",156,2011-01-07,1,0,"Jan",18,0,5,1,"Clear-Few clouds",0.2,0.2273,0.4,0.0896,7,116,123,2011-01-07,18
"157",157,2011-01-07,1,0,"Jan",19,0,5,1,"Clear-Few clouds",0.16,0.197,0.55,0.0896,3,92,95,2011-01-07,19
"158",158,2011-01-07,1,0,"Jan",20,0,5,1,"Clear-Few clouds",0.18,0.2121,0.47,0.1045,1,50,51,2011-01-07,20
"159",159,2011-01-07,1,0,"Jan",21,0,5,1,"Clear-Few clouds",0.18,0.197,0.47,0.1343,0,39,39,2011-01-07,21
"160",160,2011-01-07,1,0,"Jan",22,0,5,1,"Mist-Cloudy",0.18,0.197,0.43,0.1642,2,34,36,2011-01-07,22
"161",161,2011-01-07,1,0,"Jan",23,0,5,1,"Mist-Cloudy",0.18,0.197,0.51,0.1642,1,14,15,2011-01-07,23
"162",162,2011-01-08,1,0,"Jan",0,0,6,0,"Mist-Cloudy",0.18,0.197,0.51,0.1642,1,24,25,2011-01-08,0
"163",163,2011-01-08,1,0,"Jan",1,0,6,0,"Mist-Cloudy",0.18,0.2121,0.55,0.0896,1,15,16,2011-01-08,1
"164",164,2011-01-08,1,0,"Jan",2,0,6,0,"Mist-Cloudy",0.18,0.2424,0.55,0,3,13,16,2011-01-08,2
"165",165,2011-01-08,1,0,"Jan",3,0,6,0,"Light Snow-Rain",0.18,0.197,0.55,0.1642,0,7,7,2011-01-08,3
"166",166,2011-01-08,1,0,"Jan",4,0,6,0,"Light Snow-Rain",0.18,0.197,0.55,0.1642,0,1,1,2011-01-08,4
"167",167,2011-01-08,1,0,"Jan",5,0,6,0,"Mist-Cloudy",0.16,0.1667,0.74,0.1642,0,5,5,2011-01-08,5
"168",168,2011-01-08,1,0,"Jan",6,0,6,0,"Mist-Cloudy",0.16,0.1667,0.74,0.1642,0,2,2,2011-01-08,6
"169",169,2011-01-08,1,0,"Jan",7,0,6,0,"Mist-Cloudy",0.16,0.1818,0.74,0.1045,1,8,9,2011-01-08,7
"170",170,2011-01-08,1,0,"Jan",8,0,6,0,"Light Snow-Rain",0.16,0.1818,0.93,0.1045,0,15,15,2011-01-08,8
"171",171,2011-01-08,1,0,"Jan",9,0,6,0,"Light Snow-Rain",0.16,0.1818,0.93,0.1045,0,20,20,2011-01-08,9
"172",172,2011-01-08,1,0,"Jan",10,0,6,0,"Mist-Cloudy",0.18,0.197,0.8,0.1642,5,56,61,2011-01-08,10
"173",173,2011-01-08,1,0,"Jan",11,0,6,0,"Mist-Cloudy",0.2,0.1818,0.69,0.3881,2,60,62,2011-01-08,11
"174",174,2011-01-08,1,0,"Jan",12,0,6,0,"Mist-Cloudy",0.2,0.1818,0.59,0.3582,8,90,98,2011-01-08,12
"175",175,2011-01-08,1,0,"Jan",13,0,6,0,"Clear-Few clouds",0.2,0.1818,0.44,0.3284,7,95,102,2011-01-08,13
"176",176,2011-01-08,1,0,"Jan",14,0,6,0,"Clear-Few clouds",0.2,0.1667,0.32,0.4925,12,83,95,2011-01-08,14
"177",177,2011-01-08,1,0,"Jan",15,0,6,0,"Clear-Few clouds",0.2,0.1667,0.32,0.4478,5,69,74,2011-01-08,15
"178",178,2011-01-08,1,0,"Jan",16,0,6,0,"Clear-Few clouds",0.18,0.1364,0.29,0.4478,8,68,76,2011-01-08,16
"179",179,2011-01-08,1,0,"Jan",17,0,6,0,"Clear-Few clouds",0.16,0.1212,0.37,0.5522,5,64,69,2011-01-08,17
"180",180,2011-01-08,1,0,"Jan",18,0,6,0,"Clear-Few clouds",0.14,0.1212,0.39,0.2985,3,52,55,2011-01-08,18
"181",181,2011-01-08,1,0,"Jan",19,0,6,0,"Clear-Few clouds",0.14,0.1212,0.36,0.2537,4,26,30,2011-01-08,19
"182",182,2011-01-08,1,0,"Jan",20,0,6,0,"Clear-Few clouds",0.12,0.1212,0.36,0.2537,0,28,28,2011-01-08,20
"183",183,2011-01-08,1,0,"Jan",21,0,6,0,"Clear-Few clouds",0.12,0.1061,0.39,0.3582,2,35,37,2011-01-08,21
"184",184,2011-01-08,1,0,"Jan",22,0,6,0,"Clear-Few clouds",0.12,0.1061,0.36,0.3881,1,33,34,2011-01-08,22
"185",185,2011-01-08,1,0,"Jan",23,0,6,0,"Clear-Few clouds",0.1,0.0606,0.39,0.4478,0,22,22,2011-01-08,23
"186",186,2011-01-09,1,0,"Jan",0,0,0,0,"Clear-Few clouds",0.1,0.0758,0.42,0.3881,1,24,25,2011-01-09,0
"187",187,2011-01-09,1,0,"Jan",1,0,0,0,"Clear-Few clouds",0.1,0.0606,0.42,0.4627,0,12,12,2011-01-09,1
"188",188,2011-01-09,1,0,"Jan",2,0,0,0,"Clear-Few clouds",0.1,0.0606,0.46,0.4627,0,11,11,2011-01-09,2
"189",189,2011-01-09,1,0,"Jan",3,0,0,0,"Clear-Few clouds",0.1,0.0758,0.46,0.4179,0,4,4,2011-01-09,3
"190",190,2011-01-09,1,0,"Jan",4,0,0,0,"Clear-Few clouds",0.08,0.0909,0.53,0.194,0,1,1,2011-01-09,4
"191",191,2011-01-09,1,0,"Jan",5,0,0,0,"Clear-Few clouds",0.08,0.0909,0.53,0.194,0,1,1,2011-01-09,5
